FL_DATE,UNIQUE_CARRIER,AIRLINE_ID,CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,DISTANCE
2015-01-01,NK,20416,NK,195,13204,1320402,31454,MCO,11697,1169703,32467,FLL,2147,2143,-4.00,15.00,2158,2238,7.00,2250,2245,-5.00,0.00,,0.00,177.00
2015-01-01,NK,20416,NK,197,12953,1295302,31703,LGA,11697,1169703,32467,FLL,1050,1104,14.00,20.00,1124,1354,9.00,1404,1403,-1.00,0.00,,0.00,1076.00
2015-01-01,NK,20416,NK,198,11697,1169703,32467,FLL,13204,1320402,31454,MCO,0700,0712,12.00,19.00,0731,0803,10.00,0757,0813,16.00,0.00,,0.00,177.00
2015-01-01,NK,20416,NK,199,12266,1226603,31453,IAH,12889,1288903,32211,LAS,2240,2251,11.00,8.00,2259,2343,4.00,2356,2347,-9.00,0.00,,0.00,1222.00
2015-01-01,NK,20416,NK,200,12266,1226603,31453,IAH,13930,1393003,30977,ORD,0623,0620,-3.00,15.00,0635,0830,10.00,0855,0840,-15.00,0.00,,0.00,925.00
2015-01-01,NK,20416,NK,201,11697,1169703,32467,FLL,15024,1502403,34945,STT,1253,1258,5.00,24.00,1322,1634,10.00,1630,1644,14.00,0.00,,0.00,1107.00
2015-01-01,NK,20416,NK,202,11298,1129803,30194,DFW,10821,1082103,30852,BWI,1342,1337,-5.00,11.00,1348,1700,5.00,1724,1705,-19.00,0.00,,0.00,1217.00
2015-01-01,NK,20416,NK,203,10721,1072102,30721,BOS,14027,1402702,34027,PBI,1555,1554,-1.00,17.00,1611,1903,5.00,1913,1908,-5.00,0.00,,0.00,1197.00
2015-01-01,NK,20416,NK,204,14027,1402702,34027,PBI,10721,1072102,30721,BOS,1205,1204,-1.00,11.00,1215,1455,9.00,1505,1504,-1.00,0.00,,0.00,1197.00
2015-01-01,NK,20416,NK,209,13930,1393003,30977,ORD,13796,1379603,32457,OAK,1534,1534,0.00,11.00,1545,1736,6.00,1819,1742,-37.00,0.00,,0.00,1836.00
2015-01-01,NK,20416,NK,212,15024,1502403,34945,STT,11697,1169703,32467,FLL,1720,1721,1.00,14.00,1735,1911,7.00,1924,1918,-6.00,0.00,,0.00,1107.00
