"AIRPORT_SEQ_ID","AIRPORT_ID","AIRPORT","DISPLAY_AIRPORT_NAME","DISPLAY_AIRPORT_CITY_NAME_FULL","AIRPORT_WAC_SEQ_ID2","AIRPORT_WAC","AIRPORT_COUNTRY_NAME","AIRPORT_COUNTRY_CODE_ISO","AIRPORT_STATE_NAME","AIRPORT_STATE_CODE","AIRPORT_STATE_FIPS","CITY_MARKET_SEQ_ID","CITY_MARKET_ID","DISPLAY_CITY_MARKET_NAME_FULL","CITY_MARKET_WAC_SEQ_ID2","CITY_MARKET_WAC","LAT_DEGREES","LAT_HEMISPHERE","LAT_MINUTES","LAT_SECONDS","LATITUDE","LON_DEGREES","LON_HEMISPHERE","LON_MINUTES","LON_SECONDS","LONGITUDE","UTC_LOCAL_TIME_VARIATION","AIRPORT_START_DATE","AIRPORT_THRU_DATE","AIRPORT_IS_CLOSED","AIRPORT_IS_LATEST",
1000101,10001,"01A","Afognak Lake Airport","Afognak Lake, AK",101,1,"United States","US","Alaska","AK","02",3000101,30001,"Afognak Lake, AK",101,1,58,"N",6,34,58.10944444,152,"W",54,24,-152.90666667,"",2007-07-01,,0,1,
1000301,10003,"03A","Bear Creek Mining Strip","Granite Mountain, AK",101,1,"United States","US","Alaska","AK","02",3000301,30003,"Granite Mountain, AK",101,1,65,"N",32,53,65.54805556,161,"W",4,18,-161.07166667,"",2007-07-01,,0,1,
1000401,10004,"04A","Lik Mining Camp","Lik, AK",101,1,"United States","US","Alaska","AK","02",3000401,30004,"Lik, AK",101,1,68,"N",5,0,68.08333333,163,"W",10,0,-163.16666667,"",2007-07-01,,0,1,
1000501,10005,"05A","Little Squaw Airport","Little Squaw, AK",101,1,"United States","US","Alaska","AK","02",3000501,30005,"Little Squaw, AK",101,1,67,"N",34,12,67.57000000,148,"W",11,2,-148.18388889,"",2007-08-01,,0,1,
1000601,10006,"06A","Kizhuyak Bay","Kizhuyak, AK",101,1,"United States","US","Alaska","AK","02",3000601,30006,"Kizhuyak, AK",101,1,57,"N",44,43,57.74527778,152,"W",52,58,-152.88277778,"",2007-10-01,,0,1,
1000701,10007,"07A","Klawock Seaplane Base","Klawock, AK",101,1,"United States","US","Alaska","AK","02",3000701,30007,"Klawock, AK",101,1,55,"N",33,17,55.55472222,133,"W",6,6,-133.10166667,"",2008-04-01,,0,1,
1000801,10008,"08A","Elizabeth Island Airport","Elizabeth Island, AK",101,1,"United States","US","Alaska","AK","02",3000801,30008,"Elizabeth Island, AK",101,1,59,"N",9,25,59.15694444,151,"W",49,45,-151.82916667,"",2008-06-01,,0,1,
1000901,10009,"09A","Augustin Island","Homer, AK",101,1,"United States","US","Alaska","AK","02",3000901,30009,"Homer, AK",101,1,59,"N",21,46,59.36277778,153,"W",25,50,-153.43055556,"",2008-06-01,,0,1,
1001001,10010,"1B1","Columbia County","Hudson, NY",2201,22,"United States","US","New York","NY","36",3001001,30010,"Hudson, NY",2201,22,42,"N",17,20,42.28888889,73,"W",42,37,-73.71027778,"-0500",2009-04-01,2011-06-30,0,0,
1001002,10010,"1B1","Columbia County","Hudson, NY",2201,22,"United States","US","New York","NY","36",3001001,30010,"Hudson, NY",2201,22,42,"N",17,29,42.29138889,73,"W",42,37,-73.71027778,"-0500",2011-07-01,,0,1,
1001101,10011,"1G4","Grand Canyon West","Peach Springs, AZ",8101,81,"United States","US","Arizona","AZ","04",3001101,30011,"Peach Springs, AZ",8101,81,35,"N",59,25,35.99027778,113,"W",48,59,-113.81638889,"-0700",2008-07-01,2011-09-30,0,0,
1001102,10011,"1G4","Grand Canyon West","Peach Springs, AZ",8101,81,"United States","US","Arizona","AZ","04",3001101,30011,"Peach Springs, AZ",8101,81,35,"N",59,10,35.98611111,113,"W",49,1,-113.81694444,"-0700",2011-10-01,,0,1,
